Age;Experience;Income;Family;Education;CreditCard;Personal_Loan
25;1;49,0;4;Undergrad;0;0
45;19;34,0;3;Undergrad;0;0
39;15;11,0;1;Undergrad;0;0
35;9;100,0;1;Graduated;0;0
35;8;45,0;4;Graduated;1;0
37;13;29,0;4;Graduated;0;0
53;27;72,0;2;Graduated;0;0
50;24;22,0;1;Advanced/Professional;1;0
35;10;81,0;3;Graduated;;0
34;9;180,0;1;Advanced/Professional;;1
65;39;105,0;4;Advanced/Professional;;0
29;5;45,0;3;Graduated;;0
48;23;114,0;2;Advanced/Professional;;0
59;32;40,0;4;Graduated;;0
67;41;112,0;1;Undergrad;;0
60;30;22,0;1;Advanced/Professional;;0
38;14;130,0;4;Advanced/Professional;;1
42;18;81,0;4;Undergrad;;0
46;21;193,0;2;Advanced/Professional;;1
55;28;21,0;1;Graduated;;0
56;31;25,0;4;Graduated;;0
57;27;63,0;3;Advanced/Professional;;0
29;5;62,0;1;Undergrad;;0
44;18;43,0;2;Undergrad;;0
36;11;152,0;2;Undergrad;;0
43;19;29,0;3;Undergrad;;0
40;16;83,0;4;Advanced/Professional;;0
46;20;158,0;1;Undergrad;;0
56;30;48,0;1;Advanced/Professional;;0
38;13;119,0;1;Graduated;;1
59;35;35,0;1;Advanced/Professional;;0
40;16;29,0;1;Graduated;;0
53;28;41,0;2;Advanced/Professional;;0
30;6;18,0;3;Advanced/Professional;;0
31;5;50,0;4;Advanced/Professional;;0
48;24;81,0;3;Undergrad;;0
59;35;121,0;1;Undergrad;;0
51;25;71,0;1;Advanced/Professional;;0
42;18;141,0;3;Advanced/Professional;;1
38;13;80,0;4;Advanced/Professional;;0
57;32;84,0;3;Advanced/Professional;;0
34;9;60,0;3;Undergrad;;0
32;7;132,0;4;Graduated;;1
39;15;45,0;1;Undergrad;;0
46;20;104,0;1;Undergrad;;0
57;31;52,0;4;Undergrad;;0
39;14;43,0;3;Graduated;;0
37;12;194,0;4;Advanced/Professional;;1
56;26;81,0;2;Advanced/Professional;;0
40;16;49,0;1;Undergrad;;0
32;8;8,0;4;Graduated;;0
61;37;131,0;1;Undergrad;;0
30;6;72,0;1;Undergrad;;0
50;26;190,0;3;Advanced/Professional;;1
29;5;44,0;1;Advanced/Professional;;0
41;17;139,0;2;Undergrad;;0
55;30;29,0;3;Graduated;;0
56;31;131,0;2;Advanced/Professional;;1
28;2;93,0;2;Undergrad;;0
31;5;188,0;2;Undergrad;;0
49;24;39,0;3;Graduated;;0
47;21;125,0;1;Undergrad;;0
42;18;22,0;1;Undergrad;;0
42;17;32,0;4;Graduated;;0
47;23;105,0;2;Undergrad;;0
59;35;131,0;1;Undergrad;;0
62;36;105,0;2;Undergrad;;0
53;23;45,0;4;Advanced/Professional;;0
47;21;60,0;3;Undergrad;;0
53;29;20,0;4;Undergrad;;0
42;18;115,0;1;Undergrad;;0
53;29;69,0;4;Graduated;;0
44;20;130,0;1;Undergrad;;0
41;16;85,0;1;Advanced/Professional;;0
28;3;135,0;2;Undergrad;;0
31;7;135,0;4;Graduated;;1
58;32;12,0;3;Advanced/Professional;;0
46;20;29,0;3;Graduated;;0
54;30;133,0;2;Advanced/Professional;;1
50;26;19,0;2;Undergrad;;0
60;36;41,0;4;Undergrad;;0
47;22;40,0;3;Graduated;;0
41;16;82,0;1;Advanced/Professional;;0
33;9;50,0;1;Graduated;;0
46;22;18,0;1;Advanced/Professional;;0
27;2;109,0;4;Advanced/Professional;;0
40;16;42,0;4;Graduated;;0
48;22;78,0;3;Undergrad;;0
65;41;51,0;2;Undergrad;;0
